Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
9.47143888877518,3.36907337369265,-17.7329129741464,2.38425106232824,1.64897528614658,-10.2015332979614,-2.78922357504801,34.1269589015789,-23.9074414800989,-34.3121240226469,22.2644435555624
9.17771048380535,3.76483674107048,-17.7033317334691,2.30169896894484,1.94462916299059,-10.0262040343396,-2.66461419524123,33.0345147172849,-24.045229086697,-33.7084758869041,21.7813254912301
8.88159593976222,4.15309458208634,-17.6759389498781,2.22170097315774,2.22904338468239,-9.85492866145165,-2.55639229203477,31.967215646943,-24.1808945692515,-33.1017171078133,21.2942204661151
8.58386712183761,4.53285202603759,-17.6502740443771,2.14446888489389,2.50276302060793,-9.6879697881879,-2.46310636022245,30.9243426580542,-24.3140778296802,-32.4932662130012,20.8042713605016
8.285347942247,4.90313170086991,-17.6258851941574,2.07017896868813,2.76633927576557,-9.52569227328554,-2.38320273197868,29.9051659003259,-24.4445617006866,-31.8845856802781,20.31269320575
7.98691003898708,5.26298357920393,-17.6023375900396,1.9989689596221,3.02031901924201,-9.36854401488785,-2.31505345014183,28.9089944380483,-24.5722648600981,-31.2771818110362,19.8207746941853
7.68946378142971,5.61149492828593,-17.5792210172522,1.93093592473565,3.26523468913103,-9.21703527643789,-2.25698607408551,27.9352211253606,-24.6972327095822,-30.6726039320393,19.329876583554
7.3939442190233,5.94780021718185,-17.5561566526243,1.86613501967033,3.5015951642913,-9.07171735831601,-2.20731459727007,26.9833614496881,-24.8196265233788,-30.0724423443028,18.841426748893
7.10129197443281,6.27109083280958,-17.5328029785161,1.80457917689324,3.72987808104682,-8.93316137202733,-2.16437067102823,26.0530854153264,-24.9397110266604,-29.4783246472306,18.3569118519386
6.81242951072482,6.5806244515125,-17.508860716601,1.74623974630501,3.95052393552916,-8.80193778843706,-2.12653435200638,25.1442417843541,-25.0578404574964,-28.891910339971,17.8778658247649
6.52823365455681,6.87573390454751,-17.4840766841402,1.69104809073066,4.16393217634149,-8.67859733422709,-2.09226360874874,24.2568742283994,-25.1744431356229,-28.3148838769095,17.4058556004757
6.24950570909508,7.15583536845128,-17.4582464775861,1.63889811439927,4.37045936552847,-8.56365370579281,-2.06012183104182,23.3912291721878,-25.2900046106705,-27.7489465646957,16.9424647470164
5.97694090885265,7.42043571049272,-17.4312159040186,1.58964967008461,4.57041936885725,-8.45756845424962,-2.02880258896389,22.5477553310839,-25.4050495754757,-27.1958077892165,16.4892758233434
5.71109931143845,7.66913882878046,-17.4028811172676,1.5431327537639,4.76408543145202,-8.36073827131044,-1.99715090684555,21.7270951638806,-25.5201228755549,-26.6571760243735,16.0478523204626
5.45238043723971,7.90165084625699,-17.3731874685377,1.49915236162979,4.95169390655076,-8.27348478506501,-1.96418037585424,20.9300686810583,-25.6357700887104,-26.1347498956565,15.6197209406556
5.20100400256658,8.1177840451978,-17.3421271371168,1.45749385858024,5.13344933580557,-8.19604687157795,-1.92908554246633,20.1576502649136,-25.7525182561763,-25.6302092881627,15.2063547347373
4.95699889646475,8.31745945996203,-17.3097356510711,1.41792869143359,5.30953052662632,-8.12857541085853,-1.89124917534005,19.4109393636052,-25.8708573918876,-25.1452061758482,14.8091573349597
4.72020209860141,8.50070807748304,-17.2760874355902,1.38022027288523,5.48009723296283,-8.07113036350383,-1.85024421425179,18.6911261064569,-25.9912233687352,-24.6813545877946,14.429448268817
4.4902685334091,8.66767062614744,-17.2412905440126,1.34412986187771,5.64529702429199,-8.02368001244589,-1.80583042446367,17.9994530438321,-26.1139826921147,-24.240218983252,14.0684491673949
4.26669195828042,8.81859596376066,-17.2054807443124,1.30942227155665,5.80527193240556,-7.98610219738235,-1.75794600272327,17.337174333019,-26.239419548811,-23.823300320321,13.7272706121189
