Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
11.5518631877693,-7.86635572583867,-20.2590889281737,6.13587099373481,-3.9884647737738,-19.366445531844,-12.4521146480677,56.0577357838764,-11.0950399531679,-17.0004160769654,0.533404753882303
11.3009610157511,-7.5119617808893,-20.2172021184504,6.00653864765393,-3.45273877660923,-18.9343684824782,-12.0783949802263,54.8049712199804,-10.9632025697296,-17.2489474322962,0.97245226937713
11.0430956642366,-7.15257418581698,-20.177973657011,5.88088199210017,-2.93286322087293,-18.5163153269919,-11.7170639448264,53.5519769998407,-10.8366681953642,-17.465257656868,1.3791582997451
10.778656624325,-6.78897005497751,-20.1411534610056,5.75921771082908,-2.42905497713544,-18.1122926998551,-11.3683113723194,52.3012879112692,-10.7152621506349,-17.6553717932904,1.75859585375294
10.507997933087,-6.42198834248325,-20.1064345499883,5.64182496878551,-1.94142035727599,-17.7222400891874,-11.0321765077415,51.0552700379958,-10.5989564923275,-17.8256289881229,2.11602540378775
10.2314570981269,-6.05252258940927,-20.073456412036,5.52893898114054,-1.46995176220729,-17.3460359670608,-10.7085619215232,49.8160908791277,-10.4878797279519,-17.9825724430648,2.45681712127758
9.94937320300901,-5.68151214974548,-20.0418100473725,5.42074539953423,-1.01452618274629,-16.983503608175,-10.397251400952,48.5856954235224,-10.3823186321154,-18.132839204908,2.78637491493962
9.66210355190392,-5.30993214293821,-20.0110446648633,5.31737570053401,-0.57490592080346,-16.6344166300242,-10.0979309714026,47.3657892856458,-10.2827121317646,-18.2830495659562,3.11006064521386
9.37003831759263,-4.9387824537685,-19.9806758789201,5.2189037225994,-0.150741794944986,-16.2985043756316,-9.81021203903769,46.1578296570002,-10.1896376872061,-18.4396961506711,3.43311730947987
9.07361277328445,-4.56907616020305,-19.9501951427867,5.12534346074618,0.258421038652353,-15.9754573117095,-9.53365554597168,44.963024420817,-10.1037910287658,-18.6090331342606,3.7605905479558
8.773316807967,-4.20182780834235,-19.9190800756238,5.03664819872516,0.65313466542182,-15.6649326230916,-9.26779599910211,43.7823393541536,-10.02596047605,-18.7969664880912,4.09724850661184
8.46970154066064,-3.83804196102633,-19.8868053034502,4.95271103732993,1.03403754947513,-15.3665601499477,-9.01216427813786,42.6165129348825,-9.9569973345633,-19.0089466509783,4.44750083507333
8.16338295590031,-3.47870241876634,-19.8528534374447,4.87336685536827,1.40184151243062,-15.0799487439918,-8.76630823509376,41.4660779095536,-9.89778401075967,-19.2498655256302,4.81531827798817
7.85504257751423,-3.12476245345978,-19.8167258478506,4.79839570470274,1.75731694423383,-14.8046930264385,-8.5298102472483,40.3313884832296,-9.84920150519698,-19.5239601397991,5.20415487691832
7.54542527838975,-2.77713631915558,-19.7779529424645,4.72752758788083,2.10127672313516,-14.540380434091,-8.30230106296013,39.2126517751179,-9.81209784425395,-19.834725689642,5.6168752824632
7.23533438990819,-2.43669222302264,-19.7361037123135,4.66044850293765,2.43455938989147,-14.2865983614128,-8.0834694800024,38.1099620466682,-9.78725881639579,-20.1848410200424,6.05569014516174
6.92562432677346,-2.10424685925644,-19.6907943574331,4.59680757776738,2.75801216511851,-14.0429411566636,-7.87306762057043,37.0233361520696,-9.77538211554536,-20.5761098581899,6.5221029701507
6.61719098264402,-1.78056152529568,-19.6416958511597,4.53622506726828,3.07247440854209,-13.8090167065131,-7.67091181150654,35.9527486811612,-9.77705568304559,-21.0094212014141,7.01687206557011
6.3109601815524,-1.46633975024131,-19.5885403421845,4.47830095620775,3.37876208828539,-13.5844523369744,-7.47687932643381,34.8981653510883,-9.7927407021004,-21.4847320574195,7.53999117460868
6.00787449222671,-1.16222627688329,-19.5311263285464,4.42262389956852,3.67765376182463,-13.3688997659089,-7.29090147636147,33.859573344691,-9.82275936778136,-22.0010751643433,8.09069196402315
5.70887873000955,-0.868807164845247,-19.4693225619338,4.36878023527536,3.9698784786167,-13.1620388705665,-7.11295372569039,32.8370074880216,-9.8672872728038,-22.5565933516213,8.66747067580136
5.4149044870444,-0.586610733208654,-19.4030706497541,4.31636281546811,4.25610590573454,-12.9635800900533,-6.9430436442212,31.8305714096794,-9.92635004415451,-23.1486008892928,9.26813993608086
5.12685404858948,-0.316109040014085,-19.3323863191282,4.26497941852014,4.53693885825612,-12.7732653648518,-6.78119757473353,30.8404531257228,-9.99982374690539,-23.7736706338777,9.88990507948819
4.84558407419949,-0.0577196017432528,-19.2573593009419,4.21426052563659,4.81290829541686,-12.5908676111784,-6.62744690422476,29.8669348202057,-10.0874385277484,-24.4277441727208,10.5294625993008
4.57188944892014,0.188192916334363,-19.1781517942306,4.16386627533101,5.08447073305898,-12.4161888217192,-6.48181478550371,28.9103969027488,-10.18878497609,-25.1062606666431,11.1831167006435
4.30648774233226,0.421315263480047,-19.0949954884014,4.1134924459023,5.35200792904625,-12.2490569643608,-6.34430407263583,27.9713166889608,-10.3033227095029,-25.8042988510786,11.8469085939012
4.05000475139735,0.641384587572581,-19.0081871546987,4.06287535562245,5.61582862171925,-12.0893219104636,-6.21488711272462,27.050262258001,-10.4303907322,-26.5167257926672,12.5167522235914
3.80296164344249,0.848187939869341,-18.9180828680399,4.01179560724871,5.87617204175719,-11.9368506597859,-6.09349788272673,26.1478821993611,-10.5692191698867,-27.238345572047,13.1885696383332
3.56576425219451,1.04156232774955,-18.8250909844243,3.96008063549414,6.13321287575351,-11.7915221366236,-5.98002678392888,25.2648920705234,-10.7189420483979,-27.9640411110036,13.8584192178069
3.33869510311819,1.22139527280415,-18.7296640705448,3.90760604465896,6.38706733508781,-11.6532218128144,-5.87431822208812,24.4020584430705,-10.878610845738,-28.6889029144046,14.5226105220823
3.12190874186262,1.38762577663611,-18.6322900403994,3.85429575107719,6.6377999722363,-11.5218363829815,-5.77617091896956,23.5601814110311,-11.0472085954884,-29.4083395368408,15.1778005818304
2.91543089680192,1.54024556765011,-18.5334827702888,3.80012097252714,6.8854308824543,-11.3972487007943,-5.685340728302,22.7400763760689,-11.2236643501925,-30.1181659902843,15.8210678481839
2.71916190930835,1.67930049909226,-18.4337724270725,3.74509813451129,7.12994293076336,-11.2793331958337,-5.60154557485099,21.9425558283355,-11.4068678332968,-30.8146678878448,16.449961551494
